id,auid,frid,date_departure,time_departure,date_arrival,time_arrival,status
1,1,1,2025-09-01,8:30,2025-09-01,11:15,scheduled
2,2,2,2025-09-02,14:00,2025-09-02,16:45,scheduled
3,3,3,2025-09-03,6:15,2025-09-03,8:40,delayed
4,4,4,2025-09-04,20:00,2025-09-04,0:15,scheduled
5,5,5,2025-09-05,9:45,2025-09-05,13:10,cancelled
6,6,6,2025-09-06,12:30,2025-09-06,15:55,arrived
7,7,7,2025-09-07,5:30,2025-09-07,7:20,scheduled
8,8,8,2025-09-08,17:25,2025-09-08,21:00,scheduled
9,9,9,2025-09-09,10:00,2025-09-09,13:25,scheduled
10,10,10,2025-09-10,19:45,2025-09-10,22:30,scheduled
